id,latitude,longitude
Crèches,"48.8472625528,",2.26181196448
Halte-garderie,"48.8385178612,",2.26200740937
Jardins,"48.8551733376,",2.2625521764
Jardins,"48.8648929986,",2.2751322286
Crèches,"48.8428905552,",2.27637552699
Halte-garderie,"48.8675225072,",2.27718832506
Crèches,"48.8403770685,",2.28011803272
Crèches,"48.8386335485,",2.28020988635
Equipement,"48.8398904752,",2.28025621633
Collèges,"48.846419339,",2.28220767079
Crèches,"48.8551666118,",2.28259120541
Crèches,"48.8425102416,",2.28302333123
Crèches,"48.8485421826,",2.28505986655
Jardins,"48.8488552968,",2.28605306152
Crèches,"48.8677576821,",2.28836871121
Crèches,"48.880395771,",2.28913188162
Jardins,"48.8440007552,",2.28965497543
Crèches,"48.8503735698,",2.29053525304
Jardins,"48.8578848513,",2.29109717137
Collèges,"48.8453964016,",2.29158880839
Crèches,"48.880693627,",2.29334431089
Jardins,"48.8296500119,",2.29391833169
Crèches,"48.8297785201,",2.2955504704
Piscine,"48.8883528601,",2.2956321337
Crèches,"48.890254426,",2.29603885095
Halte-garderie,"48.8667012819,",2.29673814343
Jardins,"48.842276931,",2.29695925006
Crèches,"48.8899609289,",2.30018701154
Crèches,"48.8899609289,",2.30018701154
Crèches,"48.8866855511,",2.30068550886
Jardins,"48.8484295702,",2.30185965858
Crèches,"48.8437540639,",2.30233511587
Jardins,"48.8480700405,",2.30245945092
Jardins,"48.8616315312,",2.30392203317
Crèches,"48.8328765451,",2.30451819002
Collèges,"48.83187833,",2.30479818232
Jardins,"48.8369556816,",2.30481029254
Jardins,"48.8360564518,",2.30497434471
Collèges,"48.8907397109,",2.30503995105
Equipement,"48.8589029307,",2.30524355156
Equipement,"48.8589029307,",2.30524355156
Jardins,"48.8420636954,",2.30529746129
Collèges,"48.8426664253,",2.30714618403
Jardins,"48.8870998972,",2.30723241682
Crèches,"48.8319871536,",2.30742891971
Equipement,"48.8434245095,",2.30770263343
Equipement,"48.8434245095,",2.30770263343
Crèches,"48.8849332174,",2.30862519654
Crèches,"48.8376965624,",2.30946508745
Equipement,"48.8314631245,",2.30952789562
Piscine,"48.8243249724,",2.30954328167
Equipement,"48.8365183863,",2.31027189934
Crèches,"48.8514904153,",2.31061780396
Crèches,"48.8371076057,",2.31070357279
Jardins,"48.8239358519,",2.31151939457
Jardins,"48.8335042592,",2.31211386083
Collèges,"48.8428881134,",2.31234396968
Lycées,"48.8428881134,",2.31234396968
Musée,"48.879439,",2.312527
Equipement,"48.8487059094,",2.31400349851
Equipement,"48.8941120797,",2.31415536252
Crèches,"48.8773323198,",2.31424459561
Jardins,"48.835267334,",2.31456500765
Collèges,"48.8343296362,",2.31499589703
Equipement,"48.8943527383,",2.31582934976
Crèches,"48.8350768629,",2.3160979313
Jardins,"48.8362388516,",2.31619928754
